
,,,,,,,,,,"Entrepreneur Report",,,,,,,,
,,,,,,,,,,"Date: 12.10.2025",,,,,,,,

,,,,,,,,,,"October, 2025",,,,,,,,

Sl,"Agent Name","Agent ID","Agent Number","No. of Users","No. of Agents (Present)","Total No. of Agents Required","Package Name","Package Cost","1st Payment","2nd Payment","3rd Payment",DUE,References,"Payment Type","Club Rank","Leader References","Noting Date"
19,"NAHIM Mashiat 18",185443,0170423992918,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
20,"NAHIM Mashiat 19",185443,0170423992919,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
21,"NAHIM Mashiat 20",185443,0170423992920,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
22,"NAHIM Mashiat 21",185443,0170423992921,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
23,"NAHIM Mashiat 22",185443,0170423992922,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
24,"NAHIM Mashiat 23",185443,0170423992923,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
25,"NAHIM Mashiat 24",185443,0170423992924,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
26,"NAHIM Mashiat 25",185443,0170423992925,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
27,"NAHIM Mashiat 26",185443,0170423992926,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
28,"NAHIM Mashiat 27",185443,0170423992927,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
29,"NAHIM Mashiat 28",185443,0170423992928,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
30,"NAHIM Mashiat 29",185443,0170423992929,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
31,"NAHIM Mashiat 30",185443,0170423992930,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
32,"NAHIM Mashiat 31",185443,0170423992931,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
33,"NAHIM Mashiat 32",185443,0170423992932,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
34,"NAHIM Mashiat 33",185443,0170423992933,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
,"Grand Total",,,0,0,3400,,10540000,0,0,0,10540000,,,,
,,,
,"Prepared By:",,,,,,,,,,,,,,,"Approved By:"
,"Md. Serajul Islam Biplob",,,,,,,,,,,,,,,"Ln. Saiful Islam Shohel"
,"Sr. Manager (Accounts & Finance)",,,,,,,,,,,,,,,"Managing Director & CEO"
,"Otithee Limited",,,,,,,,,,,,,,,"Otithee Limited"
